rank,source_type,sample_id,light_source_name,sigma_ev,absorption_unit,light_source_unit,absorbed_flux_unit,reference_concentration_molar,reference_path_cm,light_flux_total,td_method_basis,td_solvent,gaussian_lambda_max_nm,gaussian_molar_absorptivity_max,gaussian_absorptance_max,gaussian_absorbed_flux,gaussian_absorbed_fraction,gaussian_shape_overlap,lorentzian_lambda_max_nm,lorentzian_molar_absorptivity_max,lorentzian_absorptance_max,lorentzian_absorbed_flux,lorentzian_absorbed_fraction,lorentzian_shape_overlap,delta_absorbed_flux,delta_absorbed_fraction,delta_shape_overlap,abs_delta_absorbed_fraction
23,theoretical,4g_td,CIEFL10,0.3,"absorptance (Beer-Lambert at c=1e-05 M, L=1 cm)",relative,relative_integral,1e-05,1.0,3074.7734784177183,b3lyp/6-31g,,800.0,31238.80564063707,0.5129069380768544,723.723433981091,0.23537455329994583,0.8774914774418061,800.0,21810.560399222522,0.3948063033569803,651.7465140573661,0.21196570044332358,0.9504424951709146,71.97691992372495,0.023408852856622253,-0.0729510177291085,0.023408852856622253
24,theoretical,4c_td,LEDB4,0.3,"absorptance (Beer-Lambert at c=1e-05 M, L=1 cm)",relative,relative_integral,1e-05,1.0,3131.547799407255,b3lyp/6-31g,,682.2682268226822,16066.975703562592,0.3092351295580885,733.1575881424905,0.23411987780651597,0.9643111906963994,683.5883588358836,11851.443221021265,0.23882315638072338,562.2065064201043,0.1795299137782664,0.9679241527672445,170.9510817223861,0.05458996402824956,-0.0036129620708451604,0.05458996402824956
25,theoretical,3f_td,LEDB2,0.3,"absorptance (Beer-Lambert at c=1e-05 M, L=1 cm)",relative,relative_integral,1e-05,1.0,3185.4133673129318,b3lyp/6-31g,,551.3351335133514,16569.638690867596,0.31718411952402836,738.2268801173557,0.23175230181823778,0.918451196524779,552.8952895289528,11997.340217637662,0.24137596541113648,584.1358785271857,0.18337835978252828,0.9374892832238393,154.09100159016998,0.048373942035709494,-0.019038086699060264,0.048373942035709494
26,theoretical,3f_td,LEDB3,0.3,"absorptance (Beer-Lambert at c=1e-05 M, L=1 cm)",relative,relative_integral,1e-05,1.0,3155.0429878235573,b3lyp/6-31g,,551.3351335133514,16569.638690867596,0.31718411952402836,718.6323300609674,0.22777259543988065,0.9162088752936258,552.8952895289528,11997.340217637662,0.24137596541113648,567.4014546820595,0.1798395320988859,0.9382442815905292,151.23087537890797,0.04793306334099476,-0.02203540629690337,0.04793306334099476
27,experimental,Rhodamine_B,LEDB3,0.3,"absorbance proxy (user-provided signal, no Beer-Lambert)",relative,relative_integral,0.0,0.0,3063.901565166622,,,542.0,0.0,0.9127510920144639,695.2414223443242,0.22691375932193678,0.33585875948789096,542.0,0.0,0.9127510920144639,695.2414223443242,0.22691375932193678,0.33585875948789096,0.0,0.0,0.0,0.0
28,theoretical,3f_td,LEDB4,0.3,"absorptance (Beer-Lambert at c=1e-05 M, L=1 cm)",relative,relative_integral,1e-05,1.0,3131.547799407255,b3lyp/6-31g,,551.3351335133514,16569.638690867596,0.31718411952402836,698.6574810865748,0.22310292731882234,0.8887820385615305,552.8952895289528,11997.340217637662,0.24137596541113648,554.137584209921,0.17695325752805344,0.9172484302992833,144.51989687665377,0.0461496697907689,-0.028466391737752783,0.0461496697907689
29,theoretical,4c_td,AM15G,0.3,"absorptance (Beer-Lambert at c=1e-05 M, L=1 cm)",W m^-2 nm^-1,W m^-2,1e-05,1.0,589.120214277655,b3lyp/6-31g,,682.2682268226822,16066.975703562592,0.3092351295580885,131.38293375208585,0.22301549084201766,0.7952110296884214,683.5883588358836,11851.443221021265,0.23882315638072338,102.38339825574035,0.17379033306687144,0.8299042955948821,28.9995354963455,0.04922515777514622,-0.03469326590646071,0.04922515777514622
30,theoretical,4c_td,CIEFL10,0.3,"absorptance (Beer-Lambert at c=1e-05 M, L=1 cm)",relative,relative_integral,1e-05,1.0,3074.7734784177183,b3lyp/6-31g,,682.2682268226822,16066.975703562592,0.3092351295580885,685.648093804692,0.2229914166416992,0.985237048937642,683.5883588358836,11851.443221021265,0.23882315638072338,528.413620809494,0.17185448766177605,0.9850963245818783,157.23447299519808,0.05113692897992314,0.00014072435576362174,0.05113692897992314
31,experimental,Fluorescein,LEDB3,0.3,"absorbance proxy (user-provided signal, no Beer-Lambert)",relative,relative_integral,0.0,0.0,3063.901565166622,,,224.0,0.0,0.9998942695696258,677.2092943944715,0.2210284109951957,0.27928166147006,224.0,0.0,0.9998942695696258,677.2092943944715,0.2210284109951957,0.27928166147006,0.0,0.0,0.0,0.0
32,theoretical,3f_td,CIEFL10,0.3,"absorptance (Beer-Lambert at c=1e-05 M, L=1 cm)",relative,relative_integral,1e-05,1.0,3074.7734784177183,b3lyp/6-31g,,551.3351335133514,16569.638690867596,0.31718411952402836,675.5605571725962,0.21971067524630802,0.9438503974432021,552.8952895289528,11997.340217637662,0.24137596541113648,536.4858672950521,0.17447980186531606,0.9695617184453854,139.07468987754407,0.045230873380991965,-0.02571132100218332,0.045230873380991965
