source_type,sample_id,light_source_name,plot_ms,gaussian_parse_tddft_ms,gaussian_broadening_ms,gaussian_light_source_ms,gaussian_integrals_ms,gaussian_total_sample_ms,lorentzian_parse_tddft_ms,lorentzian_broadening_ms,lorentzian_light_source_ms,lorentzian_integrals_ms,lorentzian_total_sample_ms,total_pair_ms,total_with_plot_ms
theoretical,3g_td,CIEFL10,1461.169999995036,0.4628999959095381,0.5907000013394281,0.03579999611247331,1.4497000011033379,8.54339999932563,0.4628999959095381,0.20809999841731042,0.03609999839682132,1.4164000021992251,21.372600000177044,29.915999999502674,1491.0859999945387
theoretical,4c_td,AM15G,1524.9642999988282,0.4654000003938563,0.5785999965155497,0.04470000567380339,1.4668000003439374,2.560799999628216,0.4654000003938563,0.20899999799439684,0.04419999459059909,1.4242000033846125,10.243899996567052,12.804699996195268,1537.7689999950235
theoretical,4c_td,LEDB4,1636.7871000038576,0.4654000003938563,0.5785999965155497,0.03680000372696668,1.4740999977220781,4.083200001332443,0.4654000003938563,0.20899999799439684,0.03510000533424318,1.4232999965315685,11.709300000802614,15.792500002135057,1652.5796000059927
theoretical,4c_td,LEDB2,1565.0679000027594,0.4654000003938563,0.5785999965155497,0.03550000110408291,1.4960999978939071,5.623899996862747,0.4654000003938563,0.20899999799439684,0.0354999938281253,1.4018000001669861,13.161499999114312,18.78539999597706,1583.8532999987365
theoretical,4c_td,LEDB3,1614.8252000057255,0.4654000003938563,0.5785999965155497,0.036299999919719994,1.4311999984784052,7.099800001014955,0.4654000003938563,0.20899999799439684,0.03590000414988026,1.462699998228345,14.666000002762303,21.765800003777258,1636.5910000095027
theoretical,4c_td,CIEFL10,1456.8685999984154,0.4654000003938563,0.5785999965155497,0.034500000765547156,1.4168000052450225,8.558300003642216,0.4654000003938563,0.20899999799439684,0.03680000372696668,1.4608000055886805,16.170199996849988,24.728500000492204,1481.5970999989077
theoretical,4g_td,AM15G,1649.7839000003296,0.46489999658660963,0.5912999986321665,0.04569999873638153,1.4931999976397492,2.60060000437079,0.46489999658660963,0.20729999960167333,0.04459999763639644,1.4857999995001592,10.675300000002608,13.275900004373398,1663.059800004703
theoretical,4g_td,LEDB4,1515.1767999996082,0.46489999658660963,0.5912999986321665,0.03749999450519681,1.607899997907225,4.256899999745656,0.46489999658660963,0.20729999960167333,0.03640000068116933,1.5378000025521033,12.256499998329673,16.51339999807533,1531.6901999976835
theoretical,4g_td,LEDB2,1499.931900005322,0.46489999658660963,0.5912999986321665,0.03730000025825575,1.5247999981511384,5.828000001201872,0.46489999658660963,0.20729999960167333,0.036499994166661054,1.4798000047449023,13.779499997326639,19.60749999852851,1519.5394000038505
theoretical,4g_td,LEDB3,2095.9225999977207,0.46489999658660963,0.5912999986321665,0.03740000101970509,1.5011000068625435,7.3737999991863035,0.46489999658660963,0.20729999960167333,0.03650000144261867,1.4719000027980655,15.294900003937073,22.668700003123377,2118.591300000844
theoretical,4g_td,CIEFL10,2087.5643999970634,0.46489999658660963,0.5912999986321665,0.0351999988197349,1.5089000007719733,8.924900001147762,0.46489999658660963,0.20729999960167333,0.03640000068116933,1.4291999978013337,16.76700000098208,25.69190000212984,2113.2562999991933
experimental,Coumarin_1,AM15G,1651.1322000005748,187.46480000118027,0.0,0.013500000932253897,0.18370000179857016,187.6743999964674,187.46480000118027,0.0,0.004800000169780105,0.10630000178935006,188.25519999518292,375.9295999916503,2027.0617999922251
experimental,Coumarin_1,LEDB4,1484.2777000012575,187.46480000118027,0.0,0.005699999746866524,0.11519999679876491,187.808299997414,187.46480000118027,0.0,0.0031000017770566046,0.09470000077271834,188.35659999604104,376.16489999345504,1860.4425999947125
experimental,Coumarin_1,LEDB2,1386.364699996193,187.46480000118027,0.0,0.0042000028770416975,0.09610000415705144,187.9149000014877,187.46480000118027,0.0,0.0033000032999552786,0.09370000043418258,188.45699999656063,376.3718999980483,1762.7365999942413
experimental,Coumarin_1,LEDB3,1472.0745999948122,187.46480000118027,0.0,0.0035000048228539526,0.0903999971342273,188.0130999998073,187.46480000118027,0.0,0.0030000010156072676,0.10479999764356762,188.56919999961974,376.58229999942705,1848.6568999942392
experimental,Coumarin_1,CIEFL10,1370.8060999997542,187.46480000118027,0.0,0.0032999960239976645,0.11920000542886555,188.13979999686126,187.46480000118027,0.0,0.0032000025385059416,0.09809999755816534,188.6744000003091,376.81419999717036,1747.6202999969246
experimental,Coumarin_6,AM15G,1432.1310999948764,36.946200001693796,0.0,0.011199997970834374,0.15749999874969944,37.1171000006143,36.946200001693796,0.0,0.004399997123982757,0.11049999739043415,37.67369999695802,74.79079999757232,1506.9218999924487
