sample_id,rank,light_source_name,source_type,absorption_unit,light_source_unit,gaussian_absorbed_fraction,lorentzian_absorbed_fraction,gaussian_shape_overlap,lorentzian_shape_overlap
Pyrene,4,LEDB2,experimental,"absorbance proxy (user-provided signal, no Beer-Lambert)",relative,0.005266060423196087,0.005266060423196087,0.012151272940399326,0.012151272940399326
Pyrene,5,LEDB4,experimental,"absorbance proxy (user-provided signal, no Beer-Lambert)",relative,0.005259847685457967,0.005259847685457967,0.016582643510997554,0.016582643510997554
Rhodamine_6G,1,CIEFL10,experimental,"absorbance proxy (user-provided signal, no Beer-Lambert)",relative,0.25226474641262214,0.25226474641262214,0.5677069240780793,0.5677069240780793
Rhodamine_6G,2,LEDB4,experimental,"absorbance proxy (user-provided signal, no Beer-Lambert)",relative,0.21512686768481326,0.21512686768481326,0.31521911376659134,0.31521911376659134
Rhodamine_6G,3,LEDB3,experimental,"absorbance proxy (user-provided signal, no Beer-Lambert)",relative,0.20469582304733167,0.20469582304733167,0.2967338089949421,0.2967338089949421
Rhodamine_6G,4,AM15G,experimental,"absorbance proxy (user-provided signal, no Beer-Lambert)",W m^-2 nm^-1,0.19612489546881845,0.19612489546881845,0.24638166381634433,0.24638166381634433
Rhodamine_6G,5,LEDB2,experimental,"absorbance proxy (user-provided signal, no Beer-Lambert)",relative,0.16297520883920552,0.16297520883920552,0.24583399906011014,0.24583399906011014
Rhodamine_B,1,CIEFL10,experimental,"absorbance proxy (user-provided signal, no Beer-Lambert)",relative,0.29661928193366915,0.29661928193366915,0.5139172930324493,0.5139172930324493
Rhodamine_B,2,LEDB4,experimental,"absorbance proxy (user-provided signal, no Beer-Lambert)",relative,0.2422022168209671,0.2422022168209671,0.36143767427614615,0.36143767427614615
Rhodamine_B,3,LEDB3,experimental,"absorbance proxy (user-provided signal, no Beer-Lambert)",relative,0.22691375932193678,0.22691375932193678,0.33585875948789096,0.33585875948789096
Rhodamine_B,4,AM15G,experimental,"absorbance proxy (user-provided signal, no Beer-Lambert)",W m^-2 nm^-1,0.19591170892397838,0.19591170892397838,0.24699568706344383,0.24699568706344383
Rhodamine_B,5,LEDB2,experimental,"absorbance proxy (user-provided signal, no Beer-Lambert)",relative,0.19323216020092476,0.19323216020092476,0.2862708878592347,0.2862708878592347
